epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.36,1.00476,0.92143,1.34121,0.97095,0.96377,0.98672,0.77341,0.84783,0.45167,1.3336,0.00333158,0.00333158,0.00333158
2,277.716,1.03008,0.64493,1.32988,0.94623,0.96615,0.98344,0.75072,0.91548,0.42753,1.38596,0.00653295,0.00653295,0.00653295
3,408.317,1.09825,0.66071,1.36288,0.95236,0.9536,0.98002,0.70399,1.03919,0.4895,1.48175,0.00960231,0.00960231,0.00960231
4,536.799,1.17124,0.69032,1.40931,0.94137,0.94464,0.97579,0.65475,1.14791,0.50961,1.56621,0.009406,0.009406,0.009406
5,665.337,1.17796,0.68347,1.41828,0.93758,0.94397,0.97507,0.66881,1.15414,0.51128,1.5734,0.009208,0.009208,0.009208
6,794.19,1.17881,0.67958,1.41963,0.94767,0.95005,0.97995,0.67163,1.16866,0.48439,1.5896,0.00901,0.00901,0.00901
7,922.758,1.16813,0.6569,1.41048,0.94608,0.93362,0.9734,0.65861,1.18655,0.49929,1.60045,0.008812,0.008812,0.008812
8,1051.34,1.14986,0.65161,1.39754,0.94897,0.95095,0.97813,0.66389,1.18429,0.48448,1.59686,0.008614,0.008614,0.008614
9,1179.75,1.14059,0.65047,1.38788,0.93913,0.94622,0.9771,0.66503,1.18533,0.49165,1.59762,0.008416,0.008416,0.008416
10,1308.45,1.12154,0.6366,1.37393,0.94419,0.94149,0.97418,0.66084,1.19302,0.49666,1.61414,0.008218,0.008218,0.008218
11,1436.76,1.11783,0.63014,1.37364,0.94445,0.94644,0.97584,0.65781,1.19818,0.47533,1.62019,0.00802,0.00802,0.00802
12,1564.61,1.10173,0.61327,1.36391,0.93895,0.94829,0.97525,0.65958,1.19205,0.49244,1.61072,0.007822,0.007822,0.007822
13,1692.24,1.10294,0.61044,1.36351,0.94135,0.94734,0.97302,0.65937,1.20084,0.49118,1.61871,0.007624,0.007624,0.007624
14,1819.74,1.0857,0.59964,1.35047,0.95345,0.94938,0.97601,0.65824,1.20558,0.47061,1.62894,0.007426,0.007426,0.007426
15,1947.59,1.07813,0.59586,1.34859,0.94756,0.94746,0.97702,0.66211,1.19993,0.47131,1.61976,0.007228,0.007228,0.007228
16,2075.31,1.06354,0.58731,1.33777,0.94335,0.95117,0.97605,0.66244,1.20969,0.47071,1.62564,0.00703,0.00703,0.00703
17,2202.89,1.05697,0.58342,1.33311,0.94452,0.94625,0.97596,0.66105,1.19898,0.47168,1.62387,0.006832,0.006832,0.006832
18,2330.21,1.04461,0.57508,1.3266,0.961,0.9425,0.97757,0.66453,1.20577,0.46383,1.6307,0.006634,0.006634,0.006634
19,2457.63,1.04118,0.5681,1.32153,0.94619,0.94175,0.97305,0.65997,1.19995,0.47567,1.62181,0.006436,0.006436,0.006436
20,2585.39,1.02105,0.55953,1.30864,0.95157,0.94419,0.9763,0.66196,1.19871,0.45979,1.63589,0.006238,0.006238,0.006238
21,2713.36,1.01664,0.55448,1.30606,0.94946,0.94262,0.97639,0.6631,1.20857,0.4621,1.64798,0.00604,0.00604,0.00604
22,2841.24,1.00571,0.5505,1.29587,0.94881,0.94509,0.97421,0.66555,1.21221,0.45685,1.65604,0.005842,0.005842,0.005842
23,2969.05,1.00029,0.54368,1.29417,0.9444,0.9577,0.97784,0.6665,1.21397,0.45292,1.65987,0.005644,0.005644,0.005644
24,3096.65,0.99615,0.53859,1.29156,0.95393,0.94149,0.97591,0.66587,1.2113,0.45325,1.65577,0.005446,0.005446,0.005446
25,3224.53,0.98432,0.53103,1.28342,0.95135,0.94166,0.97564,0.66936,1.21114,0.453,1.67128,0.005248,0.005248,0.005248
26,3352.22,0.96549,0.52184,1.27683,0.9469,0.94298,0.97503,0.66444,1.21273,0.45275,1.66309,0.00505,0.00505,0.00505
27,3480.12,0.96709,0.51846,1.27431,0.95436,0.9458,0.97489,0.6664,1.219,0.4471,1.68199,0.004852,0.004852,0.004852
